id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10052512,The Steve McQueen - New Kitchen,6433399,Christopher,,Haight Ashbury,37.77605436580161,-122.4413114568881,Entire home/apt,325,3,22,2017-09-19,1.10,1,285
10508881,"Modern, Spacious 3BR for Super Bowl",334714,Michael,,Haight Ashbury,37.773931235710016,-122.45395354250388,Entire home/apt,399,2,0,,,1,0
21026891,"Shared Room Historic B&B: Water Bunk, Peacock Room",117141107,Amber,,Haight Ashbury,37.76998801706669,-122.44938430720981,Shared room,60,1,2,2017-10-01,2,11,112
19985392,Victorian Flat in the Haight Ashbury,26822922,Chris,,Haight Ashbury,37.77014147332605,-122.44521092828771,Entire home/apt,450,4,4,2017-09-28,4,1,21
3939307,1 Bedroom Apt in Lower Haight,4731822,Desa,,Haight Ashbury,37.77092915072173,-122.4393398495199,Entire home/apt,175,3,9,2015-11-15,0.37,1,0
2179562,Studio in amazing neighborhood ,11116364,Amara,,Haight Ashbury,37.77397053974081,-122.4450297159479,Entire home/apt,193,1,0,,,1,0
2559297,Entire 2BR w/pkg centrally-located!,12707660,Rob,,Haight Ashbury,37.77506721737034,-122.44093915081336,Entire home/apt,235,2,25,2017-09-23,0.59,2,345
20873868,Remodeled Edwardian Flat in Haight-Ashbury,9296204,Joseph,,Haight Ashbury,37.77329951983024,-122.44741141491518,Private room,125,2,1,2017-09-30,1,1,25
3052906,Private room in Haight Ashubry,1864790,Igor,,Haight Ashbury,37.76747605986213,-122.44767710984594,Private room,100,1,10,2014-08-24,0.25,1,0
5685743,Edwardian 3BR/3BA Apartment,13697375,Peter,,Haight Ashbury,37.7659645955967,-122.44831028776429,Entire home/apt,465,2,3,2015-09-15,0.12,1,20
213532,Haight Ashbury Experience Room 4,1032643,Josh,,Haight Ashbury,37.77084767118647,-122.44811347552228,Private room,78,2,289,2017-09-17,3.93,6,339
6783618,"Beautiful Spot, BBQ patio & parking",5173902,Ryan,,Haight Ashbury,37.77482239295009,-122.44416873570175,Private room,100,14,0,,,1,0
14336685,Cozy Cole Valley apartment,24307156,Melanie,,Haight Ashbury,37.76730158717469,-122.45275325501191,Entire home/apt,160,2,12,2017-09-04,1.80,1,38
1344306,"Beautiful room, fantastic location!",1806128,Ryan,,Haight Ashbury,37.76820673242955,-122.45149776316816,Private room,89,2,30,2015-03-13,0.67,1,0
8192881,Modern Cole Valley studio,6387932,Meryl,,Haight Ashbury,37.76922397372911,-122.44698208256999,Entire home/apt,150,2,134,2017-09-27,5.41,1,1
3261455,Bright SF 1BR with Classic Detail,721036,Ali,,Haight Ashbury,37.77584491023114,-122.43992006836366,Entire home/apt,150,3,19,2017-09-01,0.89,1,22
15844494,Cozy Victorian Modern 1 bd in Cole Valley SF,102633197,James,,Haight Ashbury,37.76578161976252,-122.45062160299501,Entire home/apt,108,1,23,2017-04-18,2.16,1,0
19531013,One bedroom in gorgeous flat in Cole Valley,26383,Gregory,,Haight Ashbury,37.767720394411526,-122.44808808904403,Private room,300,1,4,2017-08-17,1.46,1,1
10126600,Huge Haight-Ashbury Master Bedroom!,975780,Adam,,Haight Ashbury,37.77011920516126,-122.44463856969949,Private room,96,5,0,,,3,0
10126716,4 bedroom Edwardian flat in NOPA!,9177164,Beth,,Haight Ashbury,37.775075933621004,-122.44397582316178,Entire home/apt,500,2,29,2017-08-18,1.44,4,21
149108,QUIET LUXURY COLE VALLEY PARKING,719538,Margaret,,Haight Ashbury,37.76100953756335,-122.45068669162194,Entire home/apt,300,2,2,2015-07-26,0.05,1,96
18237064,Cole Valley Comfort,67830390,Victoria,,Haight Ashbury,37.76804298766474,-122.44947600859619,Private room,75,1,5,2017-09-26,3.06,3,11
10127022,Cozy room in Haight Victorian,975780,Adam,,Haight Ashbury,37.770383568108926,-122.44657268586448,Private room,77,4,1,2015-12-23,0.05,3,0
10733204,"Alamo Square, walk to everything SF",50333168,Ed,,Haight Ashbury,37.77555303698807,-122.44193811329168,Private room,75,1,91,2017-09-30,4.51,1,318
1148625,Private Room in Haight Victorian,6296873,Dennis,,Haight Ashbury,37.76738649404297,-122.44466850355762,Private room,105,4,197,2017-09-25,3.81,1,57
17696905,Private Room in Historic B&B - Golden Gate,117141107,Amber,,Haight Ashbury,37.76989597327568,-122.45074522474503,Private room,150,1,27,2017-09-22,4.55,11,61
18876764,Lovely Remodeled Single-Family Home,21087770,Charles,,Haight Ashbury,37.76730071833274,-122.44795073945929,Entire home/apt,214,3,0,,,1,0
10832295,Charming Family Friendly NOPA Flat,1745806,Andrew,,Haight Ashbury,37.772809426403306,-122.45204236472514,Entire home/apt,450,5,8,2017-07-20,0.51,1,0
8591098,San Francisco - Beautiful 1899 Home,12116341,Suzanne,,Haight Ashbury,37.771801988453305,-122.44403792540324,Entire home/apt,1000,3,0,,,1,274
5589500,"Top of the World, Rooftop Studio",28566498,Kathy,,Haight Ashbury,37.77131492515371,-122.43976384467642,Entire home/apt,175,3,23,2017-08-01,0.77,1,35
2272343,Gorgeous Large Victorian NOPA Home,11601787,Rob,,Haight Ashbury,37.774224885223866,-122.44628377412354,Entire home/apt,500,3,91,2017-08-10,2.06,1,144
17386464,Beautifully renovated 1 BR in NOPA,117528112,Francis,,Haight Ashbury,37.771534967849036,-122.43963470488012,Entire home/apt,275,2,16,2017-09-14,2.65,1,0
5196859,Haight Ashbury Edwardian condo: 1BD,249857,Carissa,,Haight Ashbury,37.77088154806296,-122.44956550998516,Private room,120,1,88,2017-08-13,2.71,2,75
4738295,Cole Valley Room with Queen Bed,16435443,Gunter,,Haight Ashbury,37.76645312148041,-122.45108851660427,Private room,100,2,10,2017-09-24,0.58,1,331
17405841,Clayton Street Manor,117683669,Saturn,,Haight Ashbury,37.7726234922115,-122.44845113630915,Private room,99,1,32,2017-09-07,4.36,1,0
16338618,Heart of the Haight // Private Bed + Bath,13526805,Milena,,Haight Ashbury,37.769513960467336,-122.4530087347566,Private room,105,2,20,2017-09-10,2.65,2,3
19861464,City Central & Cozy in Cole Valley Neighborhood,140442058,Sandy,,Haight Ashbury,37.76653187662076,-122.45263697764835,Entire home/apt,175,2,8,2017-09-13,3.24,1,3
15134083,Luxury 2BR in Haight Ashbury Dist-Buena Vista Park,95958962,Marie,,Haight Ashbury,37.771694914221065,-122.43899647768163,Entire home/apt,349,30,20,2017-08-19,1.61,1,0
283235,Sunny and spacious 2BR in NoPA,909675,Juan,,Haight Ashbury,37.77505168402022,-122.43989750080824,Entire home/apt,199,4,6,2017-01-11,0.09,1,269
348714,Elegant Queen Ann Victorian,78610,George,,Haight Ashbury,37.77306533127567,-122.44293332662133,Entire home/apt,190,3,259,2017-09-24,3.89,1,134
9771911,Spacious 1 BR apt in Haight-Ashbury,50382812,Chris,,Haight Ashbury,37.768844118924164,-122.44850417614303,Entire home/apt,350,1,21,2016-10-05,1.00,1,359
8013423,Spacious 2/2 in Cole Valley/Haight Ashbury,5535854,Rachel,,Haight Ashbury,37.76639439811716,-122.44752085654684,Entire home/apt,235,2,3,2017-08-23,0.12,1,24
10720392,Family Friendly Home in The Haight,3227512,Kyla,,Haight Ashbury,37.77099070091528,-122.44796021966911,Entire home/apt,250,3,1,2016-12-18,0.07,1,274
1561827,Charming Nopa garden unit,2209484,Britt,,Haight Ashbury,37.77367999903207,-122.43988275583484,Entire home/apt,156,5,5,2016-08-15,0.10,1,262
21134823,Modern Haight-Ashbury Victorian Home,837274,Tina,,Haight Ashbury,37.76755000258041,-122.44839109509451,Entire home/apt,1250,5,0,,,2,332
19813728,Private Room in Grand Victorian!,40536296,Mustapha,,Haight Ashbury,37.7721080345875,-122.44033743766077,Private room,235,2,1,2017-07-24,0.42,3,345
13981030,Beautiful Room in the Haight!,76668568,Maximilian,,Haight Ashbury,37.772597461080835,-122.4540457886951,Private room,150,2,7,2017-08-22,0.48,1,76
8164773,Haight Studio,43094128,Humaira,,Haight Ashbury,37.77015667883739,-122.44807493052906,Entire home/apt,210,3,15,2017-09-24,0.64,1,295
17977925,Comfort and Class in Spacious Apartment,123485258,Joe,,Haight Ashbury,37.7695389249355,-122.44906626337958,Entire home/apt,375,2,26,2017-09-15,4.51,4,1
18837076,Ashbury Lodge,131187125,Cameron,,Haight Ashbury,37.76925645148278,-122.44750317295444,Private room,88,2,29,2017-09-17,6.54,1,0
19732293,Restored NOPA Townhouse with a Strong Community,2317858,Travis,,Haight Ashbury,37.77433437657481,-122.44255450416816,Private room,100,14,0,,,2,69
3757966,Cozy Quiet Gorgeous Cole Valley Apt,17088398,Margaret,,Haight Ashbury,37.762234068363625,-122.44966534819278,Entire home/apt,200,30,27,2017-08-20,0.70,1,328
4258894,Private Studio at a great price!,2578257,Joshua,,Haight Ashbury,37.769678080926994,-122.44824926099922,Entire home/apt,145,1,0,,,1,0
19416033,Private Bedroom in the Haight,1653267,April,,Haight Ashbury,37.76860258689786,-122.44422950913263,Private room,76,6,0,,,1,0
563887,"Cole Vly House, quiet street views",2772791,Bob,,Haight Ashbury,37.75988402508997,-122.45027212262168,Entire home/apt,350,5,12,2015-08-11,0.19,1,0
12655589,"Brand new, modern studio",1530424,Alex,,Haight Ashbury,37.77136765639219,-122.43840977629344,Entire home/apt,149,3,2,2016-08-19,0.12,1,0
8444947,The Best Spot In San Francisco,461851,Ryan,,Haight Ashbury,37.77176164245953,-122.44191208573669,Entire home/apt,349,2,42,2017-09-04,2.08,2,350
12917258,One Block to Haight Str Shops Bus Buena Vista Park,4035348,Nick,,Haight Ashbury,37.77096664878946,-122.44161991320833,Entire home/apt,118,30,25,2016-12-05,1.57,1,269
269463,Elegant Victorian Flat in Haight ,1244308,Lawrence,,Haight Ashbury,37.76710858506811,-122.45151218848747,Entire home/apt,192,2,91,2017-09-14,1.27,1,11
1273732,GORGEOUS TOP FLOOR STUDIO HAIGHT ST,6898073,Stefan,,Haight Ashbury,37.76886494937275,-122.45151802928685,Entire home/apt,145,7,9,2017-08-24,0.18,1,335
6451098,3 rooms in ex-b&b in the ❤️ of S.F.,23942099,Robert Stern &,,Haight Ashbury,37.7609047888466,-122.44672820461213,Entire home/apt,350,2,8,2017-08-10,0.29,5,358
3563032,Sunny Victorian on Historic Haight,17939820,Katherine,,Haight Ashbury,37.77092230976212,-122.43742230395648,Private room,145,1,38,2017-09-02,0.98,1,36
10480018,Cozy and comfortable studio,24464994,Christina,,Haight Ashbury,37.7675543943346,-122.44526617103931,Entire home/apt,143,1,25,2017-09-17,1.22,1,3
2368017,"Room in Central SF, Lower Haight",11404205,Guillaume,,Haight Ashbury,37.77132696250039,-122.43948860228808,Private room,159,1,2,2017-07-25,0.08,1,0
20979534,NOPA private bedroom in a gorgeous Victorian Home,4276210,Varendra,,Haight Ashbury,37.77318337973388,-122.44147942754196,Private room,110,3,0,,,1,144
2066868,Peaceful Apartment in the Panhandle,5637635,Eileen,,Haight Ashbury,37.773394902175355,-122.44595322733893,Entire home/apt,250,2,0,,,1,0
21094458,A lovely room+private kitchen in a sunny apartment,4600275,Olya,,Haight Ashbury,37.77121375529279,-122.44457231828092,Private room,180,2,0,,,1,348
20553865,Awesome Pad on the Panhandle,2442220,Dan,,Haight Ashbury,37.77128501347529,-122.44362743401172,Entire home/apt,300,4,0,,,3,0
13066418,Delightful  remodeled Ashbury Hts 1 BR Apt,281509,Cary,,Haight Ashbury,37.7661720019665,-122.44565944343951,Entire home/apt,159,30,15,2017-09-20,4.25,1,332
6290098,Apt. in ex-b&b in the ❤️ of S.F.,23942099,Robert Stern &,,Haight Ashbury,37.76219110652481,-122.44834937109863,Entire home/apt,300,2,30,2017-08-22,1.03,5,358
336133,Live Like a Local 1 Bedroom Flat,1658540,Trent,,Haight Ashbury,37.77290982277912,-122.44069535281275,Entire home/apt,108,2,83,2017-07-25,1.33,1,0
18063783,The King of Kings of the Haight Ashbury-SF!,124051180,Lana,,Haight Ashbury,37.76989238222697,-122.44286335772507,Entire home/apt,299,3,14,2017-09-16,2.43,1,154
17424816,Our Home in NoPa,147099,Carl,,Haight Ashbury,37.772236687171066,-122.43806737387833,Private room,150,2,34,2017-09-19,5.00,1,44
571042,3 BR Darling View Artists' Cottage Oasis in SF,1550529,Shannon,,Haight Ashbury,37.768101414488996,-122.43972462971016,Entire home/apt,599,4,4,2012-10-17,0.06,1,17
16535678,"Sunny, Contemporary One Bedroom Guest Suite",11331016,Catherine,,Haight Ashbury,37.76504348896837,-122.44850916017549,Entire home/apt,245,2,51,2017-10-01,5.82,1,47
20309567,3 bedrooms & private bath in Cole Valley Victorian,67830390,Victoria,,Haight Ashbury,37.76719884994654,-122.44952266813543,Entire home/apt,250,1,0,,,3,60
5807320,Charming one bedroom,24883822,Christine,,Haight Ashbury,37.77403330800786,-122.44464776602567,Entire home/apt,145,4,45,2017-09-19,1.52,1,309
3843704,Spacious room in center of the city,11158868,Andrew,,Haight Ashbury,37.774648922073695,-122.4495673543124,Private room,95,10,0,,,1,0
10413838,9BR Super Bowl Party Mansion,45102992,Stedman,,Haight Ashbury,37.77180946828992,-122.44961565242625,Entire home/apt,2500,1,0,,,2,0
1206184,In the Heart of Haight/Ashbury # 4,4677165,Ashirvadam,,Haight Ashbury,37.7711258612696,-122.4461646351246,Private room,89,1,189,2017-09-15,3.61,3,334
3861272,Cole Valley Gem 3 Bedrooms/2.5 Baths,5502762,Gerald,,Haight Ashbury,37.76440665325002,-122.4471924616973,Entire home/apt,425,3,18,2017-08-14,0.63,1,0
9251681,Entire Haight/Castro Apartment,370518,Brent,,Haight Ashbury,37.771033564096875,-122.4378187969758,Entire home/apt,169,3,10,2016-09-06,0.44,2,0
715754,Stunning Views Near Haight & Castro,3685746,Deb & Greg,,Haight Ashbury,37.76645818368998,-122.44320310000032,Entire home/apt,160,30,78,2017-07-25,1.31,2,365
2585167,Beautiful flat in SF,13236139,Mike & Shirley,,Haight Ashbury,37.77267633075199,-122.4396098373431,Entire home/apt,200,3,21,2017-07-10,0.55,2,0
3272181,Quiet condo in NOPA neighborhood,16545232,Bryan,,Haight Ashbury,37.774978611854465,-122.44865035637739,Entire home/apt,250,7,0,,,1,0
1633881,Exclusive Loft in Victorian House,484257,Jean-Michel,,Haight Ashbury,37.7706722350348,-122.45181645782827,Entire home/apt,300,4,8,2016-01-01,0.16,2,269
14200724,Luxury Apartment - great place in Centre City,8522604,Kim,,Haight Ashbury,37.77018317981172,-122.43777210482212,Private room,299,1,0,,,1,364
19165161,Private room in Haight Ashbury coop,133860992,Paul,,Haight Ashbury,37.77075710670404,-122.4445847222908,Private room,90,1,6,2017-06-26,1.58,1,0
3731481,"Big apt, amazing views, huge deck!",2458666,Alex,,Haight Ashbury,37.76887474323736,-122.45232510701253,Entire home/apt,425,2,7,2016-09-25,0.18,1,0
1332343,Bright Contemporary Urban Nest,465520,Saundra,,Haight Ashbury,37.76969507823836,-122.4361941530478,Private room,142,3,190,2017-08-30,3.68,3,321
6500567,"Large Private Room, Huge Windows",8283086,Jessica,,Haight Ashbury,37.77386629329189,-122.44926309312689,Private room,90,1,1,2016-03-01,0.05,1,0
8811090,3BR/2BA Cole Valley-public transit,13547554,Marie-Stephanie,,Haight Ashbury,37.762486013482054,-122.4500171193404,Entire home/apt,590,7,0,,,1,0
18871091,Bright upper flat in Panhandle,22923465,Basil,,Haight Ashbury,37.77522282041184,-122.44619585736915,Private room,100,3,5,2017-07-27,1.39,1,0
783149,Chic Modern Cole Valley Apartment ,4111317,Arnold & Amy,,Haight Ashbury,37.76712265543896,-122.44870752114802,Entire home/apt,250,3,136,2017-08-14,2.49,1,274
14594885,Designer luxury home at entry to Golden Gate Park,51008244,Richard,,Haight Ashbury,37.77271479399554,-122.45337406764301,Entire home/apt,200,2,33,2017-09-12,2.61,1,73
7901865,Spacious Cole Valley family home,41665252,Hayley,,Haight Ashbury,37.764879126126736,-122.44804515013294,Entire home/apt,475,7,2,2017-06-25,0.14,1,63
7763272,Haight Ashbury Castle,3116971,Missa,,Haight Ashbury,37.77066911311446,-122.4454240712056,Private room,90,3,0,,,1,0
15546103,Centrally Located Family Friendly Home,8303353,Heather,,Haight Ashbury,37.770063325208554,-122.44577397103414,Entire home/apt,225,3,3,2017-08-14,1.50,1,32
15339049,ZEN HOME - with garage for parking,28407268,Rosellen,,Haight Ashbury,37.77182472776629,-122.43914679993397,Entire home/apt,350,7,25,2017-08-04,2.14,1,258
12826992,Clayton Street Manor,10687878,Julian,,Haight Ashbury,37.77282700318845,-122.44988317654429,Private room,115,1,14,2017-01-28,0.83,2,0
7518636,Nice & Quiet Room in Haight Ashbury,39397801,Jasmine,,Haight Ashbury,37.77126490094874,-122.45121766622476,Private room,71,2,2,2015-10-31,0.08,1,59
2816626,Beautiful Victorian,6310896,Jenny,,Haight Ashbury,37.76835878739929,-122.44811666908116,Entire home/apt,320,3,6,2017-07-29,0.15,1,274
7666482,Zen Living 2bd/2ba in NOPA,12417372,Paul,,Haight Ashbury,37.77367565661318,-122.4456408746166,Entire home/apt,145,31,4,2015-12-18,0.15,1,0
18971467,"Modern Home for Daily Production, Off-Sites",102973,Brian,,Haight Ashbury,37.77496158730544,-122.44017215420862,Entire home/apt,1350,1,1,2017-06-11,0.26,1,359
5846018,BEAUTIFUL 3 BR Apt in Cole Valley,17529757,Neha,,Haight Ashbury,37.766491975747414,-122.44813424841755,Private room,100,14,0,,,1,0
13516315,SF Elegant Vacation Rental 2 beds/2 baths,34702719,Nathalie,,Haight Ashbury,37.76645577084764,-122.45175280566333,Entire home/apt,350,3,1,2017-09-27,1,1,116
10058568,Central San Francisco luxury,31021771,Ryan,,Haight Ashbury,37.76719265642213,-122.44823796238622,Entire home/apt,215,30,4,2017-02-16,0.22,1,62
18431597,"Sunny, eclectic Haight-Ashbury 2-bedroom",12217784,Sara,,Haight Ashbury,37.77109492068213,-122.44403963341287,Entire home/apt,450,2,0,,,1,76
6653474,Extra-Large room in heart of Nopa,475974,Ari,,Haight Ashbury,37.77565844505397,-122.44062683929961,Private room,100,30,11,2017-01-28,0.40,2,0
4767720,Your SF Home with Deck Near Parks,262355,Lynn,,Haight Ashbury,37.771391893783445,-122.43981197435312,Entire home/apt,195,1,13,2017-04-09,1.20,1,0
